Dim = 4
L = 6
N3 = 5184
N2 = 7776
N1 = 5184
N0 = 1296
1.1 -0.6016819610082305 1.4879158320245676
1.099 -0.6054935246913581 1.1197818703805174
1.098 -0.6033672352880658 0.48331565111935787
1.097 -0.6068483968106996 0.8960455063335125
1.096 -0.6108058275720164 1.4238298372308646
1.095 -0.6070532437242798 1.0629290726980676
1.094 -0.6068484930041153 0.44575922519190175
1.093 -0.6126933177983539 0.712522180180176
1.092 -0.613148978600823 0.8622557937957642
1.091 -0.6148148717078189 0.6803142354908629
1.09 -0.6085511998971194 0.6975442486706076
1.089 -0.6133832544238683 1.2851921644167381
1.088 -0.6248829733539094 3.1049225038916215
1.087 -0.6273006026748972 2.0661477957870518
1.086 -0.6130437658436214 0.51504488142041
1.085 -0.6166980284979423 0.676117800110468
1.084 -0.6177906459876543 0.8835564024215709
1.083 -0.6215552020576132 0.7452077510845158
1.082 -0.6205571605967077 0.7337898569983292
1.081 -0.6180781591563786 0.8925571858033126
1.08 -0.6210741235596708 0.969189399529763
1.079 -0.6173075754115227 0.7095156863184625
1.078 -0.6428091847736626 0.4771412642167188
1.077 -0.6240873929012346 1.2903838056587469
1.076 -0.6288155270576132 1.1993457391946962
1.075 -0.639756686728395 2.461671184422244
1.074 -0.6210855288065844 0.3548238543156492
1.073 -0.6332289524691358 2.4153925152286693
1.072 -0.6540935684156378 0.17213869603317442
1.071 -0.6531107735596708 0.26943519835022844
1.07 -0.6488760788065844 0.6323488174873128
1.069 -0.6343168838477367 1.9002802378721944
1.068 -0.6348205197530864 0.6198416686076238
1.067 -0.64703951563786 0.9088489926602847
1.066 -0.6545872683127572 0.2526796869807702
1.065 -0.655364370781893 0.2808767303822653
1.064 -0.6568825514403291 0.13113463493767089
1.063 -0.6435829635802469 1.4659356313177891
1.062 -0.6442642682098766 1.0797916775329914
1.061 -0.6570688594650206 0.13502497570087477
1.06 -0.6557975752057613 0.2938664565388688
1.059 -0.6421017183127572 0.9451604066189747
1.058 -0.6571766007201646 0.11806191792732112
1.057 -0.6573360088477367 0.11235781179139732
1.056 -0.6572716583333333 0.1190112148787894
1.055 -0.6576195218106996 0.10661418215969573
1.054 -0.64858225 1.524597371366082
1.053 -0.6499576809670783 0.8012445630233456
1.052 -0.6577839558641976 0.11681170503357868
1.051 -0.658423137345679 0.09554132240845946
1.05 -0.6577534740740741 0.11263112938856389
1.049 -0.6590742026748971 0.08550307629038506
1.048 -0.6592196022633745 0.08480070551551269
1.047 -0.6576357263374486 0.14544756486493793
1.046 -0.658359612962963 0.14397434867147219
1.045 -0.6591987665637861 0.091142680274172
1.044 -0.6597671525720165 0.0719840493684524
1.043 -0.6582692181069959 0.16047721278753235
1.042 -0.6591472716049382 0.08453955717270438
1.041 -0.6592237941358026 0.10301874429608997
1.04 -0.6594143182098765 0.08148155198777213
1.039 -0.6595197652263375 0.08728379507926443
1.038 -0.6592763451646091 0.08213802723532883
1.037 -0.6593292958847736 0.10558812646144876
1.036 -0.659489258436214 0.09386381512387684
1.035 -0.6600525994855967 0.09405041816403428
1.034 -0.659707279526749 0.11549278464508732
1.033 -0.6600381318930041 0.10070619822197678
1.032 -0.659737461728395 0.09282827174965974
1.031 -0.6599249918724279 0.07514119183383126
1.03 -0.660255342489712 0.07412798527186563
1.029 -0.6610276546296296 0.05559236600597617
1.028 -0.6601145475308642 0.07138475204170329
1.027 -0.6598586929012346 0.09597846621167337
1.026 -0.6608021891975309 0.0659099022989693
1.025 -0.6606558622427984 0.07141935952109713
1.024 -0.6602429940329217 0.0829115014522913
1.023 -0.6607121241769547 0.06198036815096208
1.022 -0.6606287383744855 0.06897598742460316
1.021 -0.660809369547325 0.07269721781869362
1.02 -0.6609700844650206 0.06431800668089327
1.019 -0.6605029253086421 0.08357907728934144
1.018 -0.6608114776748971 0.05866074692321634
1.017 -0.6608848132716049 0.06764288917537305
1.016 -0.6605003983539094 0.07693239224340807
1.015 -0.6612144561728396 0.07903896446934439
1.014 -0.661526975 0.07283549774695383
1.013 -0.6613714043209877 0.05669458066948973
1.012 -0.6613615022633744 0.05385649807923186
1.011 -0.6608558179012346 0.09769633315073327
1.01 -0.6619623574074074 0.052237054103070724
1.009 -0.6618529238683127 0.05824705018223962
1.008 -0.6614144443415637 0.05197565811761055
1.007 -0.6618291001028807 0.06156681487989084
1.006 -0.6619713261316873 0.04974247484257865
1.005 -0.6616116344650206 0.05586410713948761
1.004 -0.6617643689300412 0.05523648113156277
1.003 -0.6617483308641976 0.06337219866882655
1.002 -0.6621176223251029 0.04800620810941381
1.001 -0.6619975216049383 0.0542680741818544
1.0 -0.6623380251028806 0.045916879114622076
