Dim = 4
L = 5
N3 = 2500
N2 = 3750
N1 = 2500
N0 = 625
1.4 -0.4446949789333333 0.32073188989372536
1.39 -0.44662277333333333 0.34597843325436
1.38 -0.4522209562666667 0.3299384119919195
1.37 -0.4548853013333333 0.3558367112842703
1.36 -0.459031332 0.38254382258146563
1.35 -0.46130118186666663 0.3791575228689629
1.34 -0.4638266392 0.3757633079511262
1.33 -0.4710587392 0.39462060086246736
1.32 -0.4735334250666667 0.3864392947477129
1.31 -0.47631587200000003 0.4534755945643464
1.3 -0.4831879237333333 0.4549106968328709
1.29 -0.48395909653333335 0.38944851745625103
1.28 -0.4910814797333333 0.5269663618666224
1.27 -0.4951389573333333 0.477499900421499
1.26 -0.5026010250666667 0.45147130783960787
1.25 -0.5042424879999999 0.5895029048237006
1.24 -0.5114715759999999 0.4311769526660025
1.23 -0.5145419016 0.5605321704627586
1.22 -0.5201794845333333 0.6496421916713677
1.21 -0.5272238522666667 0.5328709072536949
1.2 -0.5315263141333334 0.6320648911392696
1.19 -0.5378286792 0.5713469457697933
1.18 -0.5437607928 0.568787355848134
1.17 -0.5505485984 0.6911478766161736
1.16 -0.5574983170666666 0.7815708156802084
1.15 -0.5629106701333333 0.6966116172321278
1.14 -0.5688422826666666 0.6859909360269985
1.13 -0.5790179117333333 0.7824804134649223
1.12 -0.5874154578666667 0.8552766882071624
1.11 -0.5944739488 0.8530062698963653
1.1 -0.6038693173333333 0.8750068242858181
1.09 -0.6171995344 1.256225022349563
1.08 -0.6291937999999999 1.6189737232369175
1.07 -0.6499339072 0.58334232145307
1.06 -0.6559284952000001 0.19813811209928534
1.05 -0.6525159976 0.5695098504198831
1.04 -0.6585814517333334 0.14895101675614014
1.03 -0.6598108202666666 0.09902097152435846
1.02 -0.6613382277333333 0.05647273692963033
1.01 -0.6620584728000001 0.04802036881364062
1.0 -0.6624429242666666 0.04928254771927992
0.99 -0.6627379936 0.038286551056496324
