Dim = 4
L = 9
N3 = 26244
N2 = 39366
N1 = 26244
N0 = 6561
1.0 -0.662217503371292 0.05558670194557344
1.001 -0.662216812042299 0.04043240631849513
1.002 -0.6620390853310689 0.05304655557118749
1.003 -0.6619403384356334 0.04047622286400356
1.004 -0.661971041246616 0.046760917496876525
1.005 -0.6615345021882553 0.046821033791280824
1.006 -0.6619878688353256 0.05803616464095835
1.007 -0.661565549589566 0.055311777763821714
1.008 -0.6617825318585291 0.06351954153163364
1.009 -0.6612973597811018 0.07933917018401627
1.01 -0.6615727596983619 0.05596062428518198
1.011 -0.6616196095542928 0.04613653280422994
1.012 -0.66166730597107 0.06978227441290501
1.013 -0.661653152364985 0.044326228958391084
1.014 -0.660550598355361 0.05554919759124643
1.015 -0.6609795427381134 0.05189506737940014
1.016 -0.6615265134670237 0.06113595802608139
1.017 -0.661111849355136 0.09253531947622799
1.018 -0.6610889930832262 0.0655109157656082
1.019 -0.6609180109449053 0.052910592158369865
1.02 -0.660258686437172 0.08831539971938894
1.021 -0.6611250735877952 0.055248160905177396
1.022 -0.661186930128247 0.07723400871142634
1.023 -0.6600732128958274 0.0830148746285858
1.024 -0.6603457159405143 0.10317887275545377
1.025 -0.6605108815438994 0.09738544625368303
1.026 -0.6605295405317133 0.075871903852984
1.027 -0.6598494340293655 0.11127836232592667
1.028 -0.6598760931913689 0.061499168618063794
1.029 -0.6601791207931428 0.09103723896947691
1.03 -0.6597516416487034 0.07535038101076094
1.031 -0.6600475255514185 0.11312836727264546
1.032 -0.6598614022978495 0.09564784204214097
1.033 -0.6596579515608102 0.08670679795570349
1.034 -0.6593569503197102 0.1621095396363522
1.035 -0.6592467250491723 0.10840752910564673
1.036 -0.6600281977486011 0.11311300973786688
1.037 -0.6595216791720193 0.10618291771872791
1.038 -0.6597663122491491 0.10500433169463717
1.039 -0.6598216452631349 0.09391177648408021
1.04 -0.6585341896778221 0.1024375362830147
1.041 -0.6585100378862108 0.1869844268279138
1.042 -0.6586017962854095 0.11112400874979769
1.043 -0.6595269100093627 0.07627476945456516
1.044 -0.6594252322744065 0.05668975264098509
1.045 -0.6572659154455258 0.11980883270916241
1.046 -0.6584331062047742 0.1836243776211796
1.047 -0.6580934168136391 0.13552247715681107
1.048 -0.6572361636510113 0.12519381923699316
1.049 -0.6584518378295992 0.10226006730660164
1.05 -0.6576512232165538 0.12511708494278587
1.051 -0.6583556505904298 0.0880061238854419
1.052 -0.6578986565201298 0.2404816352539823
1.053 -0.657332855778373 0.16675355327465105
1.054 -0.6567732116474695 0.09386165916933197
1.055 -0.657065164296964 0.13636227388694377
1.056 -0.655524345911265 0.20400678786559143
1.057 -0.6557788689587098 0.24856813427531388
1.058 -0.6559214997858921 0.28374766380911987
1.059 -0.6539068552122571 0.24504106901529285
1.06 -0.6564881811860852 0.15412632515396785
1.061 -0.6581394829911236 0.09949156996415165
1.062 -0.651047222723017 0.42786141074341943
1.063 -0.6446935450751555 0.47821701826904733
1.064 -0.6395026906177194 0.5714438783727307
1.065 -0.6372941268970322 0.6347431968920708
1.066 -0.6381765830412031 0.4520904601269782
1.067 -0.6345923411355703 0.3413155849548485
1.068 -0.6292124846096342 0.24785820820343435
1.069 -0.6323640980106111 1.485413911600815
1.07 -0.6333517454511145 0.30618533663685904
1.071 -0.6269226482170982 0.38404010036988234
1.072 -0.6318349014595627 0.3920260412749813
1.073 -0.6242462598181171 0.28789573122214324
1.074 -0.621877439371176 0.5317910864943579
1.075 -0.6223598570339888 0.43905130104713835
1.076 -0.6253595461928713 0.3858146575719828
1.077 -0.6205501563350535 1.3697133814985918
1.078 -0.6250455804646504 0.5915027278537375
1.079 -0.624781816868799 0.896008758984914
1.08 -0.6201708947968153 1.9144663819419543
1.081 -0.6184134105718495 0.7571325948676114
1.082 -0.6149402562762645 0.4710546787296805
1.083 -0.6146366920547826 0.9995115477248494
1.084 -0.6171425002141079 0.2789501605797236
1.085 -0.6207822618503277 0.37231360551928777
1.086 -0.6156010081215842 0.6086686963129427
1.087 -0.6169629442956576 0.7865517213127067
1.088 -0.6147366334400244 0.8875445672473616
1.089 -0.6107428915162468 0.3157329784396943
1.09 -0.6108678019465673 0.43818644951319835
1.091 -0.6124688477221096 0.36666120396402624
1.092 -0.6079444952206763 0.7343535318105124
1.093 -0.6105167628047409 0.7309321207343499
1.094 -0.6082405680028451 0.7337505135637021
1.095 -0.6009575914531031 1.3137179158691181
1.096 -0.6019601642606746 0.3324916557028664
1.097 -0.6052885090977711 0.5228469645322246
1.098 -0.6031720749450215 0.6742436395140994
1.099 -0.6081054719300919 0.44585302043701946
1.1 -0.6030735066663764 0.6012743982828465
