Dim = 4
L = 9
N3 = 26244
N2 = 39366
N1 = 26244
N0 = 6561
1.1 -0.5956144813435815 7.422239261453528
1.099 -0.6033676053882611 1.5129268872237
1.098 -0.6041637091616406 1.2858082991159048
1.097 -0.6007095092211553 0.6239791143913628
1.096 -0.6051741471175272 0.8394542230717643
1.095 -0.6039211839077957 0.7422958520961931
1.094 -0.6071191450199955 0.692580630113525
1.093 -0.6052710577655845 1.2223169918970145
1.092 -0.6101237262322091 1.3450818255235863
1.091 -0.6131483418903912 0.6915038870277895
1.09 -0.6064554037639442 0.5393421554222401
1.089 -0.6107901128022006 0.9864890971467165
1.088 -0.6095462929576647 0.7443545962567031
1.087 -0.6167004591199077 0.3711379967515638
1.086 -0.6111205769155399 1.4344129053865486
1.085 -0.616076335009907 0.8538829595629862
1.084 -0.6116970663589318 0.3601812334954234
1.083 -0.6151998956605047 0.444210078239517
1.082 -0.6218446609038982 0.5544610818109746
1.081 -0.623298999934679 0.33807070867557826
1.08 -0.6237423655946757 0.4068548723329926
1.079 -0.6281154425646497 0.2748198163647716
1.078 -0.6255471503763218 0.49919694748630794
1.077 -0.6199547766963515 0.38401807659742365
1.076 -0.6260994132863021 0.36179015297123457
1.075 -0.6281191573003535 0.6605930559230235
1.074 -0.6313616731334509 0.46804345842939676
1.073 -0.6276256890427563 0.47872942529157436
1.072 -0.6285528115923096 0.5052883833584344
1.071 -0.6274264757404867 0.23678522910800134
1.07 -0.633430150775506 1.0664573600828822
1.069 -0.6329885231490554 0.9498039249265189
1.068 -0.6329428397239096 0.3404776853702798
1.067 -0.6315195597506187 0.3469081955687814
1.066 -0.6415506182855402 0.19453007161786373
1.065 -0.6399154595626393 0.22269642650306806
1.064 -0.645690580007403 0.24417006721746978
1.063 -0.6366210992807426 0.5420774303676691
1.062 -0.6454372847054384 0.2251556631640742
1.061 -0.6456244649842867 0.32541160570688393
1.06 -0.640472953368026 0.33533245749631957
1.059 -0.6410458091028516 0.17697823934895204
1.058 -0.6464452349888591 0.18467446155342127
1.057 -0.6442388639362466 0.2609888292184814
1.056 -0.6451018198445359 0.34969421831442826
1.055 -0.6470219789956525 0.35569917698492537
1.054 -0.6519200370152634 0.2770152017341051
1.053 -0.6506395055196289 0.2561181429482071
1.052 -0.6492902118434327 0.29815316705223854
1.051 -0.655122159470464 0.3703173943274877
1.05 -0.6587858793302415 0.12696630892760818
1.049 -0.6577091352363533 0.19103928427566988
1.048 -0.659286425022318 0.08321051612398171
1.047 -0.6582712263519643 0.10690232178979105
1.046 -0.6584803692962019 0.1105250320208338
1.045 -0.6589508807745625 0.08678019543369926
1.044 -0.6580289106480575 0.12121454131006205
1.043 -0.6596570097038053 0.0927194486864216
1.042 -0.6580704309737917 0.10627774610537448
1.041 -0.6589929471988155 0.06485354802389383
1.04 -0.6596162954253489 0.07067355348613016
1.039 -0.6593660475392108 0.09904690880945162
1.038 -0.6596834275843549 0.08987306184956007
1.037 -0.6596303391033597 0.10063273692315454
1.036 -0.659959108628911 0.06588959977221302
1.035 -0.6601726551846772 0.055076251286505194
1.034 -0.6596101003476531 0.09764133812044799
1.033 -0.6591047260362459 0.2540461145995221
1.032 -0.6597664690632234 0.10191176677711053
1.031 -0.660209172919343 0.07786552583959389
1.03 -0.6604295821920294 0.08863319559384605
1.029 -0.6598462707775383 0.09387669066067558
1.028 -0.6602258280749886 0.0932137440433915
1.027 -0.6589402240076644 0.13424751775301383
1.026 -0.6598163686429914 0.0801093115207339
1.025 -0.6608701771652115 0.05166170543074344
1.024 -0.6602319052554416 0.08212665592580505
1.023 -0.6604162539537382 0.12160479780514902
1.022 -0.6606822316429696 0.07525928151684896
1.021 -0.6608643303503385 0.05957946665179371
1.02 -0.6605914472967971 0.07630203292402545
1.019 -0.65989989777981 0.11751031949039445
1.018 -0.6612388472140571 0.061952706818408726
1.017 -0.660953954536547 0.0631540717170331
1.016 -0.6616202900980541 0.057365734604898785
1.015 -0.6612457555105566 0.062443121939507705
1.014 -0.6618902897641911 0.05601715472752454
1.013 -0.6615150476190477 0.05616112698802673
1.012 -0.6615622920722015 0.04792086640597713
1.011 -0.6614054025881653 0.07353045500011895
1.01 -0.6615659220211785 0.05783633280825537
1.009 -0.6612232977696489 0.0590168992412098
1.008 -0.6618077109761143 0.07580743703704679
1.007 -0.6618248956677626 0.0456790134935174
1.006 -0.6616637034859668 0.06939429579059303
1.005 -0.6616973714372809 0.06056254959124557
1.004 -0.6616309788142052 0.061434663510340354
1.003 -0.6622388615556571 0.03872676966190666
1.002 -0.6618740788788005 0.04028949710304467
1.001 -0.6622454676043867 0.04495293833933072
1.0 -0.6619910561978792 0.046354725348999704
