Dim = 4
L = 8
N3 = 16384
N2 = 24576
N1 = 16384
N0 = 4096
1.1 -0.5973784648980035 3.8373224090807
1.099 -0.6080908798014323 1.1754940498136832
1.098 -0.6049192118055555 0.46209717481913454
1.097 -0.6086244784342448 0.8748017247758526
1.096 -0.6045385461425782 0.7591434007719686
1.095 -0.6057888939615885 0.5476270770763048
1.094 -0.6083894116753472 1.1134604392485854
1.093 -0.609990065483941 0.6533600636049627
1.092 -0.6116646804741753 0.8389488256339837
1.091 -0.6142716148003472 0.4247618519064328
1.09 -0.6099719828016493 0.30275629479404487
1.089 -0.6111112913953993 0.567513587782234
1.088 -0.613417112874349 0.6503450507318949
1.087 -0.6182863882921007 0.9463502389564405
1.086 -0.6144853279351129 0.3610093591645916
1.085 -0.6199936134982639 0.9074588375386449
1.084 -0.6187888015407986 0.423751625633385
1.083 -0.6138776339518229 0.47397194226710104
1.082 -0.6213666569281684 0.5617292151202053
1.081 -0.6207807813042535 0.4161578821772398
1.08 -0.6209524113226996 0.44430585972629194
1.079 -0.6208501325683594 0.22652535133416424
1.078 -0.6228015030653212 0.3030746026538629
1.077 -0.6235436016438802 0.31892004266924895
1.076 -0.6233508304307726 1.427036877841637
1.075 -0.6316930730251736 0.9524505877162932
1.074 -0.6277122052137587 1.157196133575423
1.073 -0.6302984224717881 0.49304501874191453
1.072 -0.6246393172743055 0.39121933553010674
1.071 -0.6289386511773004 0.6375894068893578
1.07 -0.6306220237630208 0.580269118229004
1.069 -0.6340882109375 0.2654773011138779
1.068 -0.6334134341362847 0.26015141651688256
1.067 -0.6346161828342014 0.2849794729640524
1.066 -0.6376353840603298 0.4798534458826115
1.065 -0.6393013413357205 0.5481640777041934
1.064 -0.6325883961588542 0.79523447151669
1.063 -0.6398014473198784 0.4046260447847423
1.062 -0.6405453023003472 0.6256933982123015
1.061 -0.6372289572753906 0.3666591108834579
1.06 -0.6522508681369358 0.5528500677543539
1.059 -0.6572688306477864 0.12661728344634005
1.058 -0.6573173395996094 0.10191888284817258
1.057 -0.6549386195475261 0.17548356201723794
1.056 -0.6550110630425348 0.2703899333980053
1.055 -0.6580311029459636 0.15692714854788048
1.054 -0.6553069053548177 0.2177446952896909
1.053 -0.6578134578993056 0.1628230231162056
1.052 -0.6549083294270833 0.34423266449049167
1.051 -0.6578422360026042 0.18851366386924
1.05 -0.6576261492513021 0.11328102766200217
1.049 -0.6585242154134114 0.1071941430785312
1.048 -0.6579800011121962 0.1320658523908492
1.047 -0.6583705648057726 0.18095642747514126
1.046 -0.6592155093315972 0.0697264945183158
1.045 -0.6597276717122396 0.08298277753376399
1.044 -0.6592695263943142 0.07081889526975217
1.043 -0.659683285454644 0.07231684893791149
1.042 -0.6594287986382378 0.08847689475599115
1.041 -0.6591601459960937 0.07100798526125257
1.04 -0.6596224175889757 0.06695626233333234
1.039 -0.6594056288791232 0.09204406950331816
1.038 -0.6591371790093316 0.08150398716221383
1.037 -0.6600898428005643 0.08829951852416155
1.036 -0.6599930374620225 0.06928095013405296
1.035 -0.6595257482638889 0.09162364853595292
1.034 -0.660098879937066 0.07579848188597678
1.033 -0.6600797742784288 0.08333387653027081
1.032 -0.6587361349012587 0.16296849268233438
1.031 -0.660132544813368 0.0936133429713801
1.03 -0.6606430512695313 0.0770640385416518
1.029 -0.660225678249783 0.0694919900954528
1.028 -0.660068786078559 0.08147757950893486
1.027 -0.6605131658528646 0.06636260648799676
1.026 -0.6600695150553385 0.10271903019267475
1.025 -0.6609703540852865 0.07755200425643072
1.024 -0.6605579129231771 0.056699247980712686
1.023 -0.6604829064941407 0.07853848500941801
1.022 -0.6606046283365885 0.07261870090725632
1.021 -0.6610158893229167 0.08752665093135714
1.02 -0.6609578241644966 0.04684643885356773
1.019 -0.6608010544162326 0.09348056921896324
1.018 -0.6604759923231337 0.09531836828058633
1.017 -0.6616167638617622 0.04207180050332977
1.016 -0.6606936676161025 0.06842566236260259
1.015 -0.6614620404188368 0.0580230054665037
1.014 -0.6611924343261718 0.08243877867243737
1.013 -0.6613796755371094 0.05658885555195628
1.012 -0.6616387829861111 0.06082147259793574
1.011 -0.6617755455186632 0.05478131474130772
1.01 -0.6619119208984375 0.050393391018856405
1.009 -0.6614151268174914 0.04533389981875606
1.008 -0.6618072459038629 0.05041755959430257
1.007 -0.6617413769802517 0.08337262016888346
1.006 -0.6616123623318143 0.06036755389579951
1.005 -0.6619273105740017 0.06518076484904363
1.004 -0.661956098687066 0.05656825733398861
1.003 -0.6618729970431857 0.05407270060179534
1.002 -0.6615169642198351 0.061832750551897124
1.001 -0.6623746848958333 0.04267616057359757
1.0 -0.6625851468370226 0.049521852238588814
