Dim = 4
L = 3
N3 = 324
N2 = 486
N1 = 324
N0 = 81
WilsonSurfaceXY(Spin, Cube, L) = 1
Energy = -324.0
T, H, <E>/N, <Cv>/N, <M>/N, <chi>/N 
0.36 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.34 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.32 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.3 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.28 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.26 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.24 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.22 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.2 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.18 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.16 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.14 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.12 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.1 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.08 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.06 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
