Dim = 4
L = 3
N3 = 324
N2 = 486
N1 = 324
N0 = 81
WilsonSurfaceXY(Spin, Cube, L) = 1
Energy = -324.0
T, H, <E>/N, <Cv>/N, <M>/N, <chi>/N
1.5 0.0 -0.4128594115226338 0.28453638746568466 2.9016460905349793e-5 0.667403337631819
1.48 0.0 -0.4185912716049383 0.29352552572451057 0.00010242798353909465 0.6768155349121344
1.46 0.0 -0.4245047242798354 0.3018971123764026 0.00019539300411522634 0.6842972495750592
1.44 0.0 -0.43076518106995887 0.31897848265428264 -0.0001263724279835391 0.6944881829448317
1.42 0.0 -0.437071987654321 0.3291612427026398 8.276337448559671e-5 0.7025931144007869
1.4 0.0 -0.4440357366255144 0.3478232314274965 -0.00016461111111111112 0.7140844177542608
1.38 0.0 -0.4511751399176955 0.36102162701199547 6.447942386831275e-5 0.7251044670967243
1.36 0.0 -0.45893937037037036 0.38006212523633376 8.57962962962963e-5 0.7362437354154427
1.34 0.0 -0.4661956502057613 0.39963864661926707 -8.082304526748971e-6 0.7468657707923592
1.32 0.0 -0.4746171111111111 0.4299247803806703 4.973456790123457e-5 0.7560897458578985
1.3 0.0 -0.4837215267489712 0.46739612712123885 9.42798353909465e-6 0.7692902548358277
1.28 0.0 -0.4937636131687243 0.5148643941727462 -7.998765432098766e-5 0.7833562320153742
1.26 0.0 -0.5047081728395062 0.5877773175474321 -2.9106995884773663e-5 0.7947036969930824
1.24 0.0 -0.5172930205761317 0.6842020140542037 -0.0001347181069958848 0.8063726723852896
1.22 0.0 -0.5326284074074075 0.8258533854554163 5.919135802469136e-5 0.8201145760974685
1.2 0.0 -0.5511393580246914 1.0059371463506301 0.00010664814814814815 0.8321524340662534
1.18 0.0 -0.571736024691358 1.1293196347644348 0.00011105967078189301 0.8459931448339525
1.16 0.0 -0.5970950823045268 1.1063389425248984 -5.0757201646090534e-5 0.8625021560411806
1.14 0.0 -0.6163985884773662 0.9057262031213978 -8.855555555555556e-5 0.8793255427957478
1.12 0.0 -0.6310831563786008 0.6634299205243821 -1.0438271604938272e-5 0.8931987291752479
1.1 0.0 -0.6425774238683127 0.4414220060089655 -0.00023656995884773665 0.9085112667588309
1.08 0.0 -0.6492272386831275 0.3010333663288247 3.968106995884774e-5 0.9261344118441834
1.06 0.0 -0.6543531522633744 0.19384262306598582 -0.00014402057613168725 0.9448713192793773
1.04 0.0 -0.6574999423868312 0.13349667448779948 -6.511728395061728e-5 0.9600055169107925
1.02 0.0 -0.6598628230452674 0.0906680295837659 0.00012525102880658437 0.9844610558371983
1.0 0.0 -0.6613805884773662 0.06720709528156256 3.720164609053498e-6 1.0034426517101565
0.98 0.0 -0.6625460905349795 0.05123007997348818 9.930246913580246e-5 1.0164578753587785
0.96 0.0 -0.6635495514403291 0.03777532956929426 6.227160493827161e-5 1.041092404171605
0.94 0.0 -0.6641015555555555 0.030795917974148643 -1.1993827160493827e-5 1.0632353472173168
0.92 0.0 -0.664750341563786 0.02218453411116192 7.563786008230453e-6 1.0849876151525855
0.9 0.0 -0.6650854897119342 0.019434947730798208 -0.00013292798353909465 1.1087321272345474
0.88 0.0 -0.6654323827160494 0.01522781896443538 7.697942386831276e-5 1.1363257490232321
0.86 0.0 -0.6657254362139917 0.011740631895800714 0.000121619341563786 1.1649128154908388
0.84 0.0 -0.6659516049382717 0.009286407883269135 5.9510288065843624e-5 1.1926542806141387
0.82 0.0 -0.6661099382716049 0.0073702940976429245 0.00011248148148148148 1.2217799147557062
0.8 0.0 -0.6662393086419753 0.0058687704847530464 5.5010288065843616e-5 1.2534199568924254
0.78 0.0 -0.6663381399176954 0.004667803721565476 1.8530864197530866e-5 1.2830592141288486
0.76 0.0 -0.6664166831275721 0.003866402247481843 -0.0001679320987654321 1.3160971978334821
0.74 0.0 -0.6664601563786008 0.0034753938154303086 -7.500411522633744e-5 1.3501720811136027
0.72 0.0 -0.6665391069958847 0.0020326739126851107 0.0001480946502057613 1.3865955753981596
0.7 0.0 -0.6665728230452674 0.0015864277750882656 5.7078189300411526e-5 1.4297628879847148
0.68 0.0 -0.6665987860082305 0.0012200064606634605 -0.0001396111111111111 1.4716349620001181
