Dim = 4
L = 3
N3 = 324
N2 = 486
N1 = 324
N0 = 81
WilsonSurfaceXY(Spin, Cube, L) = 1
Energy = -421.2
T, H, <E>/N, <Cv>/N, <M>/N, <chi>/N
1.5 0.2 -0.439550635802473 0.29930411091819814 0.13258581275720166 0.6577740119931066
1.48 0.2 -0.4455072489712063 0.3099649545035301 0.13447729423868313 0.6660011413062716
1.46 0.2 -0.45188311893003935 0.32215035290398303 0.13643008024691358 0.6749773569671896
1.44 0.2 -0.45867303374487134 0.33682562392840937 0.1381561975308642 0.6826256763492455
1.42 0.2 -0.46532904485594445 0.3530741953524502 0.13991756995884774 0.6945989364114634
1.4 0.2 -0.47260588189289104 0.3683010719668912 0.14218905967078188 0.704978207410805
1.38 0.2 -0.4798546864196584 0.38127828608126746 0.14402180658436214 0.7127869070471711
1.36 0.2 -0.4879974263371221 0.4025880047264242 0.14628552674897122 0.7235098393325515
1.34 0.2 -0.49582263250993963 0.4256052111098799 0.14828394444444443 0.736176411762164
1.32 0.2 -0.5047826115222025 0.4497227287718618 0.1507945596707819 0.7464784118089272
1.3 0.2 -0.5145397234555149 0.4876680033131404 0.15297725925925926 0.7540150602806214
1.28 0.2 -0.5244402065828759 0.5284723500074989 0.1553827818930041 0.7649954908934172
1.26 0.2 -0.5365839646075152 0.6181593185004872 0.1577305020576132 0.776561740583028
1.24 0.2 -0.5493237189253976 0.7135679651327894 0.16020131069958848 0.7957901229281665
1.22 0.2 -0.5651994201600457 0.8734991946758478 0.1629769156378601 0.8097019793868275
1.2 0.2 -0.5841077065799213 1.0479834920505793 0.1654969485596708 0.821869977844155
1.18 0.2 -0.6076195971148618 1.149653050926284 0.1681073271604938 0.8330452789531977
1.16 0.2 -0.6284634864154423 1.130120877028806 0.17096607407407408 0.8462850496698174
1.14 0.2 -0.6495696884731577 0.9544602205879973 0.174295170781893 0.8623544802772196
1.12 0.2 -0.6656255991728697 0.7199554100707019 0.17737060905349794 0.8801659485643437
1.1 0.2 -0.6782618551399265 0.4801372144843403 0.1806018271604938 0.8997543028242735
1.08 0.2 -0.6863915325062685 0.3295082846812455 0.18432572839506173 0.9118630049755858
1.06 0.2 -0.6915487123417211 0.23556154886892205 0.1874279855967078 0.9291187976939186
1.04 0.2 -0.6958699152223629 0.16441406580581336 0.19084813580246915 0.9578335948606413
1.02 0.2 -0.699017017280008 0.1252705854808853 0.19474461316872427 0.9687330921529825
1.0 0.2 -0.7009116098726366 0.11114862166300087 0.19842074485596706 0.992488615884108
0.98 0.2 -0.7030045131647723 0.09348372494969635 0.2024927510288066 1.0093751085043858
0.96 0.2 -0.704765201230705 0.08165207054614985 0.2066705534979424 1.0299510719128901
0.94 0.2 -0.7063485847697556 0.07596952811229214 0.21121277983539094 1.0505808759151547
0.92 0.2 -0.7078381469096889 0.07044028313315422 0.21565653703703705 1.077281348201983
0.9 0.2 -0.7092618958809289 0.06704398800129768 0.22048242181069957 1.1122447074420518
0.88 0.2 -0.7106519201607651 0.06632779183427666 0.2258498683127572 1.132980265765769
0.86 0.2 -0.7118820868274106 0.0658951223270401 0.23079066049382715 1.1658969478511823
0.84 0.2 -0.7132193670743725 0.06620247838202295 0.23648187654320987 1.1894645670270796
0.82 0.2 -0.7145937518479895 0.06704196485103626 0.2422551378600823 1.2346181180768665
0.8 0.2 -0.7159516152225023 0.06920746387155162 0.24860505144032924 1.2639874166074405
0.78 0.2 -0.7172355674858816 0.07166396726339216 0.2544937222222222 1.3048001734868604
0.76 0.2 -0.7188475843582752 0.07377332428767633 0.26212156378600826 1.331934125063893
0.74 0.2 -0.7203110609015374 0.0779915703384475 0.2691398930041152 1.3899030787672602
0.72 0.2 -0.7219087909427476 0.08129875281777436 0.2768372057613169 1.427751860808408
0.7 0.2 -0.7235323897081202 0.08620506999925362 0.2847889650205761 1.482505552883692
0.68 0.2 -0.7254164757163355 0.09240126339176717 0.2940691069958848 1.5528076008611824
0.66 0.2 -0.7273122485558555 0.09827032166489745 0.3034413456790124 1.6078143204263644
0.64 0.2 -0.7292275571978751 0.10702075345146739 0.31296873251028806 1.701043452088431
0.62 0.2 -0.7314491827123134 0.11487853517334688 0.32401638683127576 1.773524551913907
0.6 0.2 -0.7338844703666175 0.12502943813722775 0.33614798971193416 1.8713329240949081
0.58 0.2 -0.7365634534942117 0.13873884285367652 0.349527658436214 2.0082682798518405
0.56 0.2 -0.7394224884736477 0.15421864219932574 0.363809170781893 2.1571565552614183
0.54 0.2 -0.7427750843584408 0.17471649137054954 0.3805582613168724 2.3574411437691576
0.52 0.2 -0.746434855140382 0.19897102435792327 0.3988470329218107 2.5862226434118454
0.5 0.2 -0.750749375304954 0.23806297978953508 0.420417987654321 2.9754702026660014
0.48 0.2 -0.7560027925889393 0.2925200707159841 0.44668383950617285 3.5100008015444164
0.46 0.2 -0.7627360625478051 0.38961873849136625 0.4803478847736626 4.480494732236612
0.44 0.2 -0.7722192493791662 0.5428936374755367 0.5277629135802469 5.971830171220648
0.42 0.2 -0.785091162959508 0.7157254024870437 0.5921224814814815 7.515116870621848
